,Genre,Responsable_secondaire,Orphelin,Confession,Ecole_secondaire,Option_secondaire,Grade_examen_Etat,Province_secondaire,Age_fin_secondaire,Etude_cours_secondaire,Vouloir_devenir_avant_universite,Respo_oriention_departement,Aimer_departement,Annee_reposAvantUniversite,Age_adm_Universite,Nature_universite,Type_institution,Province_universite,Respo_universitaire,Niveau,Refaitre_sixieme_secondaire,Competence_math,Competence_physique,Competence_biologie,Competence_chimie,Competence_informatique,Competence_Dessin,Domaine_Universite
0,0,0.0,0,0.0,0,0,0.0,0.0,3.0,0,0,0,0,0.0,2.5,0.0,0,0.0,0,2,0,2,1.0,1.0,1.0,2,1,0
1,0,1.0,1,1.0,1,1,0.0,0.0,3.0,1,11,0,0,0.0,2.5,1.0,1,0.0,6,2,0,2,1.0,1.0,1.0,2,1,1
2,0,1.0,1,1.0,1,1,0.0,0.0,3.0,1,11,0,0,0.0,2.5,1.0,1,0.0,6,2,0,2,1.0,1.0,1.0,2,1,1
3,0,2.0,1,0.0,5,0,0.0,0.0,3.0,2,1,0,0,0.0,2.5,1.0,1,0.0,0,2,1,2,1.0,1.0,1.0,2,1,0
4,0,1.0,0,0.0,0,2,0.0,0.0,3.0,0,11,0,0,2.0,2.5,1.0,1,0.0,1,1,0,0,1.0,1.0,1.0,1,1,0
5,0,6.0,1,0.0,5,1,0.0,3.0,4.0,2,1,0,0,2.5,2.5,1.0,0,1.0,6,2,1,1,1.0,1.0,1.0,0,1,2
6,1,1.0,0,0.0,0,0,0.0,0.0,1.0,0,0,0,0,0.0,2.0,0.0,0,0.0,1,2,0,1,1.0,1.0,1.0,2,2,0
7,0,5.0,1,1.0,0,0,0.0,0.0,7.0,1,2,0,0,0.0,2.0,2.0,0,0.0,2,1,0,1,1.0,1.0,1.0,2,1,0
8,0,5.0,1,0.0,6,3,0.0,5.0,7.0,1,11,0,0,0.0,2.5,0.0,1,0.0,2,2,1,2,1.0,1.0,1.0,2,1,0
9,1,1.0,0,0.0,0,4,0.0,0.0,3.0,0,1,0,0,0.0,2.5,0.0,0,0.0,1,2,0,1,1.0,1.0,1.0,2,1,0
